2026/08/15 02:53:40 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:53:41 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:53:42 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:53:42 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:53:42 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:53:43 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 02:53:46 [KEYPRESS] Key: 'esc' | Screen: pipeline_config
2026/08/15 02:54:26 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:54:26 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 02:54:27 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:54:27 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:54:27 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:54:28 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:54:28 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:54:28 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:54:29 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 02:54:30 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 02:54:31 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:54:31 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 02:54:31 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:32 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:32 [KEYPRESS] Key: 'backspace' | Screen: file_picker
2026/08/15 02:54:33 [KEYPRESS] Key: 'backspace' | Screen: file_picker
2026/08/15 02:54:33 [KEYPRESS] Key: 'backspace' | Screen: file_picker
2026/08/15 02:54:34 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 02:54:35 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:35 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:35 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:35 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:35 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:35 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:36 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:36 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 02:54:37 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:37 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:37 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:54:38 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 02:54:38 [ACTION] DOCUMENT_PROCESS - Processed and exported to: local/scandoc/output/production_agents_guide.pdf
2026/08/15 02:54:39 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:39 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:40 [KEYPRESS] Key: 'left' | Screen: processing
2026/08/15 02:54:40 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:41 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:41 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:41 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:41 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:41 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:41 [KEYPRESS] Key: 'down' | Screen: processing
2026/08/15 02:54:42 [KEYPRESS] Key: 'up' | Screen: processing
2026/08/15 02:54:42 [KEYPRESS] Key: 'up' | Screen: processing
2026/08/15 02:54:42 [KEYPRESS] Key: 'up' | Screen: processing
2026/08/15 02:55:23 [KEYPRESS] Key: 'esc' | Screen: processing
2026/08/15 02:55:25 [KEYPRESS] Key: 'q' | Screen: processing
